Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Fulham,0,0,11,5,1,8,13,0,3,0
Ipswich,1,0,8,4,0,4,9,1,0,0
Newcastle,0,0,13,6,0,5,17,3,0,0
Bolton,1,0,6,2,0,7,13,3,0,1
Middlesbrough,1,0,15,5,0,7,10,3,0,0
West Ham,3,2,10,3,0,3,13,1,2,0
Aston Villa,1,1,8,3,0,10,10,0,1,0
Tottenham,0,0,13,5,1,4,5,0,1,0
Charlton,1,0,6,4,0,4,15,5,1,0
Derby,3,0,12,4,0,8,12,6,2,0
Leicester,0,0,11,5,2,8,12,0,2,0
Man United,0,0,18,4,0,6,9,3,4,0
Fulham,0,0,9,3,0,4,16,1,2,0
Leeds,3,1,16,11,0,2,10,3,1,0
Charlton,0,0,5,5,0,9,7,3,2,0
Derby,0,0,7,4,0,7,14,2,1,0
Fulham,0,0,10,2,0,7,10,3,1,0
Leicester,0,0,13,3,0,4,13,1,1,0
Aston Villa,0,0,10,5,0,7,16,2,2,0
Derby,2,0,6,2,0,6,13,2,3,0
Sunderland,0,0,10,5,0,4,10,2,1,1
Chelsea,0,0,7,2,0,12,9,3,4,0
Leeds,0,0,9,4,0,1,12,4,2,0
Middlesbrough,1,0,8,2,0,7,15,3,3,1
Southampton,0,0,6,0,1,1,13,4,2,0
Derby,0,0,9,1,0,5,12,3,2,0
Ipswich,0,0,12,4,0,5,11,3,2,0
Middlesbrough,0,0,10,2,0,4,11,7,3,0
Everton,1,0,10,4,0,9,12,3,2,0
Bolton,0,0,7,1,1,7,10,2,0,0
Man United,0,0,9,3,0,6,21,1,4,0
Chelsea,1,0,15,6,0,7,14,7,0,0
